inv_comp,inv_store,sku,ORD,quantity-purchased,Bin Location,product-id,ship-service-level,DESCRIPTION,order-id,purchase-date,link
20,0,HZ_UD 3_1B,1,1,G01,803868481642,Standard,ISUD003,112-8966473-1967410,2023-10-29T06:59:08+00:00,https://sellercentral.amazon.com/orders-v3/order/112-8966473-1967410
218,7,VF_POCKET BUN-LEMON_1B,2,2,G11,781811012351,Standard,51107,114-3103184-7489048,2023-10-29T09:51:41+00:00,https://sellercentral.amazon.com/orders-v3/order/114-3103184-7489048
0,11,OT_NIKAYA_2T1/350,1,1,C03,827298859543,Standard,QSNKA,112-4671262-9002662,2023-10-29T10:03:33+00:00,https://sellercentral.amazon.com/orders-v3/order/112-4671262-9002662
69,3,BY_AROL_4N274,1,1,F06,885160028817,Standard,AROL,114-9825727-3154651,2023-10-29T11:02:12+00:00,https://sellercentral.amazon.com/orders-v3/order/114-9825727-3154651
20,3,OT_NIKAYA_2T1/425,1,1,C03,827298859550,Standard,QSNKA,113-9566257-9432202,2023-10-29T14:06:36+00:00,https://sellercentral.amazon.com/orders-v3/order/113-9566257-9432202
20,2,OT_NIKAYA_2T1/2730,1,1,C03,827298859529,Standard,QSNKA,113-9566257-9432202,2023-10-29T14:06:36+00:00,https://sellercentral.amazon.com/orders-v3/order/113-9566257-9432202
0,1,IT_SWISS LACE NICO_P1B/30,1,1,D05,846926146725,Standard,SLACENICO,111-9161310-5161836,2023-10-29T15:27:38+00:00,https://sellercentral.amazon.com/orders-v3/order/111-9161310-5161836
20,0,HZ_HWEFE8_613,2,2,nan,803868540172,Standard,HWEFE8,114-3279053-4322642,2023-10-29T17:41:45+00:00,https://sellercentral.amazon.com/orders-v3/order/114-3279053-4322642
241,5,VF_POCKET BUN 31_4,1,1,G11,781811060772,Standard,50918,113-2721993-1711453,2023-10-29T17:45:26+00:00,https://sellercentral.amazon.com/orders-v3/order/113-2721993-1711453
20,10,OT_DIVA WAVE LONG_DR2730,1,1,nan,827298811688,Standard,HWPLDW3,111-4817582-2929017,2023-10-29T18:06:12+00:00,https://sellercentral.amazon.com/orders-v3/order/111-4817582-2929017
20,8,OT_DIVA WAVE LONG_DR2/27613,1,1,nan,827298811718,Standard,HWPLDW3,111-4817582-2929017,2023-10-29T18:06:12+00:00,https://sellercentral.amazon.com/orders-v3/order/111-4817582-2929017
27,0,VF_NATURE_4,1,1,,781811024675,Standard,50283,114-3476153-1581001,2023-10-29T18:46:54+00:00,https://sellercentral.amazon.com/orders-v3/order/114-3476153-1581001
20,6,"OT_ MEDIUM BOX BRAID 26""_2",1,1,nan,827298860143,Standard,PQWPMBB26,114-2301505-5510604,2023-10-29T19:05:02+00:00,https://sellercentral.amazon.com/orders-v3/order/114-2301505-5510604
20,0,HZ_KATE_DRBG,2,2,,803868333453,Standard,IFWKAT,114-3031603-5814631,2023-10-29T20:29:31+00:00,https://sellercentral.amazon.com/orders-v3/order/114-3031603-5814631
20,2,HZ_HWE28_DARKPURPLE,1,1,FRONT,803868452642,Standard,HWE28,111-2099895-9772231,2023-10-29T22:04:05+00:00,https://sellercentral.amazon.com/orders-v3/order/111-2099895-9772231
0,3,OT_QSBIMO_DR2730,1,1,A05,827298854623,Standard,QSBIMO,114-1984675-2387415,2023-10-29T23:14:22+00:00,https://sellercentral.amazon.com/orders-v3/order/114-1984675-2387415
20,4,OT_DUBY XPRESS 12_1,2,2,nan,827298716204,Standard,HWMDU12,112-1741872-9113024,2023-10-29T23:27:42+00:00,https://sellercentral.amazon.com/orders-v3/order/112-1741872-9113024
0,19,IT_AWESOME_P1B/30,10,10,B01,846926127533,Standard,IAWESOME,114-7780446-4570669,2023-10-29T19:26:24+00:00,https://sellercentral.amazon.com/orders-v3/order/114-7780446-4570669
32,3,BY_SUPER C JANE_C3800,2,2,F03,885160114558,Standard,SUPER C JANE,112-0046970-2897042,2023-10-29T23:45:33+00:00,https://sellercentral.amazon.com/orders-v3/order/112-0046970-2897042
20,0,HZ_HWQSRO9_4,3,3,nan,803868305696,Standard,HWQSRO9,112-6923956-1184212,2023-10-30T00:04:42+00:00,https://sellercentral.amazon.com/orders-v3/order/112-6923956-1184212
61,0,BY_LA COSMO_F2058,1,1,D06 B,842045026214,Standard,LA COSMO,113-9697226-3605843,2023-10-30T00:56:57+00:00,https://sellercentral.amazon.com/orders-v3/order/113-9697226-3605843
0,2,BY_DAYNA_SP1B/30,1,1,F02,885160044640,Standard,DAYNA,112-1819776-8949834,2023-10-30T01:12:08+00:00,https://sellercentral.amazon.com/orders-v3/order/112-1819776-8949834
20,1,HZ_HWECDW10_F4/30,1,1,nan,803868410697,Expedited,HWECDW10,112-0943425-5898626,2023-10-30T01:27:23+00:00,https://sellercentral.amazon.com/orders-v3/order/112-0943425-5898626
0,3,OT_QSBIMO_DR2730,1,1,A05,827298854623,Standard,QSBIMO,111-7344530-9940246,2023-10-30T02:18:11+00:00,https://sellercentral.amazon.com/orders-v3/order/111-7344530-9940246
20,23,OT_HWPBBNB30_NBLK,1,1,nan,827298838791,Standard,HWPBBNB30,112-6980235-3705026,2023-10-30T02:24:11+00:00,https://sellercentral.amazon.com/orders-v3/order/112-6980235-3705026
20,0,OT_KNOTLESS TRIANGLE PART_DR4/2T27613,1,1,A07,827298877202,Standard,QLOKTPB,111-6353374-2285042,2023-10-30T02:48:27+00:00,https://sellercentral.amazon.com/orders-v3/order/111-6353374-2285042
20,0,OT_AURYN_1B,1,1,,827298936879,Standard,QPNBXPAU,111-9221561-2893029,2023-10-30T02:55:51+00:00,https://sellercentral.amazon.com/orders-v3/order/111-9221561-2893029
173,4,BY_OPRAH 2_44,1,1,F02,885160043223,Standard,OPRAH 2,114-7660394-2267403,2023-10-30T03:48:00+00:00,https://sellercentral.amazon.com/orders-v3/order/114-7660394-2267403
20,1,HZ_JILL_HL530,2,2,B01,803868336119,Standard,IFWJIL,111-0631831-0173055,2023-10-30T04:33:24+00:00,https://sellercentral.amazon.com/orders-v3/order/111-0631831-0173055
20,0,OT_GOLD NATURAL STRAIGHT 16-18-20_NBLK,1,1,nan,827298797814,Expedited,HWMGS161820,114-0625134-1221845,2023-10-30T04:30:39+00:00,https://sellercentral.amazon.com/orders-v3/order/114-0625134-1221845
59,0,BY_AUSTIN_SYRUP,1,1,B01 END,885160073886,Standard,AUSTIN,113-7629359-7846607,2023-10-30T05:28:52+00:00,https://sellercentral.amazon.com/orders-v3/order/113-7629359-7846607
20,4,OT_VELVET TARA 1-2-3_DBLU,1,1,nan,827298775218,Standard,HWVT123,111-8314641-6238637,2023-10-30T11:44:16+00:00,https://sellercentral.amazon.com/orders-v3/order/111-8314641-6238637
